time,symbol,side,price,qty,fee_usdt,paper_usdt,paper_asset,reason,pnl_usdt
2026-02-08 13:49:33,BTC/USDT,BUY,70444.57,0.0013472294599853473,0.095,5.0,0.0013472294599853473,RSI<= 30 + TrendOK,
2026-02-08 14:16:04,BTC/USDT,SELL,70773.76,,0.095348,100.253146,0.0,TAKE_PROFIT,0.348146
2026-02-08 18:54:24,BTC/USDT,BUY,68854.43,0.0013783426861568677,0.095,5.0,0.00137834,RSI<= 30 + TrendOK,
2026-02-08 18:54:35,BTC/USDT,SELL,69285.09,0.00137834,0.095499,100.403098,0.0,TAKE_PROFIT,0.403098
2026-02-13 22:31:20,BTC/USDT,BUY,68995.62,0.000723958999136467,0.05,50.0,0.00072396,BUY (trend_ok&RSI<=55) or (RSI<=25),
2026-02-13 22:35:00,BTC/USDT,SELL,69051.59,0.00072396,0.049991,99.940529,0.0,RSI_EXIT,-0.059471
2026-02-13 22:48:07,BTC/USDT,BUY,69006.27,0.00028953890711670114,0.02,80.0,0.00028954,BUY_CONSERVADOR,
2026-02-13 22:48:22,BTC/USDT,BUY,68991.77,0.00028959975950754705,0.02,80.0,0.0002896,BUY_CONSERVADOR,
2026-02-13 22:50:09,BTC/USDT,BUY,68961.06,0.000724321812918769,0.05,50.0,0.00072432,RSI<= 50 + TrendOK,
2026-02-13 22:50:38,BTC/USDT,BUY,68990.94,0.0002896032435563278,0.02,80.0,0.0002896,BUY_CONSERVADOR,
2026-02-13 23:23:06,BTC/USDT,SELL,68882.0,0.0002896,0.019948,99.928502,0.0,STOP_LOSS,-0.071498
2026-02-14 00:29:40,BTC/USDT,BUY,68949.99,0.00028956805844308986,0.019986,79.942802,0.00028957,BUY_CONSERVADOR,
